,time,command,pitch,roll,Yaw,height,Vx,Vy,Vz,battery
0,1662599738.3325973,stand,0,0,1,0,0,0,0,82
1,1662599738.3356469,stand,0,0,1,0,0,0,0,82
2,1662599738.34026,stand,0,0,1,0,0,0,0,82
3,1662599738.3431408,stand,0,0,1,0,0,0,0,82
4,1662599738.347872,stand,0,0,1,0,0,0,0,82
5,1662599738.3512282,stand,0,0,1,0,0,0,0,82
6,1662599738.3541322,stand,0,0,1,0,0,0,0,82
7,1662599738.35645,stand,0,0,1,0,0,0,0,82
8,1662599738.3603504,stand,0,0,1,0,0,0,0,82
9,1662599738.364529,stand,0,0,1,0,0,0,0,82
10,1662599738.3681824,stand,0,0,1,0,0,0,0,82
11,1662599738.3710473,stand,0,0,1,0,0,0,0,82
12,1662599738.3737159,stand,0,0,1,0,0,0,0,82
13,1662599738.3775363,stand,0,0,1,0,0,0,0,82
14,1662599738.3800108,stand,0,0,1,0,0,0,0,82
15,1662599738.3836734,stand,0,0,1,0,0,0,0,82
16,1662599738.3866143,stand,0,0,1,0,0,0,0,82
17,1662599738.3894506,stand,0,0,1,0,0,0,0,82
18,1662599738.3929157,stand,0,0,1,0,0,0,0,82
19,1662599738.39826,stand,0,0,1,0,0,0,0,82
20,1662599738.4006672,stand,0,0,1,0,0,0,0,82
21,1662599738.404307,stand,0,0,1,0,0,0,0,82
22,1662599738.408273,stand,0,0,1,0,0,0,0,82
23,1662599738.4115138,stand,0,0,1,0,0,0,0,82
24,1662599738.4144144,stand,0,0,1,0,0,0,0,82
25,1662599738.4173012,stand,0,0,1,0,0,0,0,82
26,1662599738.420158,stand,0,0,1,0,0,0,0,82
27,1662599738.424426,stand,0,0,1,0,0,0,0,82
28,1662599738.427126,stand,0,0,1,0,0,0,0,82
29,1662599738.4306135,stand,0,0,1,0,0,0,0,82
30,1662599738.4341574,stand,0,0,1,0,0,0,0,82
31,1662599738.437092,stand,0,0,1,0,0,0,0,82
32,1662599738.4396892,stand,0,0,1,0,0,0,0,82
33,1662599738.4430604,stand,0,0,1,0,0,0,0,82
34,1662599738.4461808,stand,0,0,1,0,0,0,0,82
35,1662599738.4495606,stand,0,0,1,0,0,0,0,82
36,1662599738.452318,stand,0,0,1,0,0,0,0,82
