,time,frame#,command,pitch,roll,Yaw,height,Vx,Vy,Vz,battery
0,1663768147.914965,1,stand,9,-1,106,0,0,0,0,17
1,1663768148.1572623,2,stand,9,-1,106,0,0,0,0,17
2,1663768148.3755465,3,stand,9,-1,106,0,0,0,0,17
3,1663768148.4799964,4,stand,9,-1,106,0,0,0,0,17
4,1663768148.613247,5,stand,9,-1,106,0,0,0,0,17
5,1663768148.73253,6,stand,9,-1,106,0,0,0,0,17
6,1663768148.867303,7,stand,9,-1,106,0,0,0,0,17
7,1663768149.0120232,8,stand,9,-1,106,0,0,0,0,17
8,1663768149.1897876,9,stand,9,-1,106,0,0,0,0,17
9,1663768149.3734279,10,stand,9,-1,106,0,0,0,0,17
10,1663768149.5052726,11,stand,9,-1,106,0,0,0,0,17
11,1663768149.6613643,12,stand,9,-1,106,0,0,0,0,17
12,1663768149.7583892,13,stand,9,-1,106,0,0,0,0,17
13,1663768149.9586694,14,stand,9,-1,106,0,0,0,0,17
14,1663768150.0530376,15,stand,9,-1,106,0,0,0,0,17
15,1663768150.2781944,16,stand,9,-1,106,0,0,0,0,17
16,1663768150.4040394,17,stand,9,-1,106,0,0,0,0,17
17,1663768150.4995353,18,stand,9,-1,106,0,0,0,0,17
18,1663768150.628925,19,stand,9,-1,106,0,0,0,0,17
19,1663768150.724758,20,stand,9,-1,106,0,0,0,0,17
20,1663768150.8019626,21,stand,9,-1,106,0,0,0,0,17
21,1663768150.8973246,22,stand,9,-1,106,0,0,0,0,17
22,1663768150.9961095,23,stand,9,-1,106,0,0,0,0,17
23,1663768151.1039217,24,stand,9,-1,106,0,0,0,0,17
24,1663768151.2208128,25,stand,9,-1,106,0,0,0,0,17
25,1663768151.2923737,26,stand,9,-1,106,0,0,0,0,17
26,1663768151.4675167,27,stand,9,-1,106,0,0,0,0,17
27,1663768151.5828736,28,stand,9,-1,106,0,0,0,0,17
28,1663768151.7283888,29,stand,9,-1,106,0,0,0,0,17
29,1663768151.8590848,30,stand,9,-1,106,0,0,0,0,17
30,1663768151.962715,31,stand,9,-1,106,0,0,0,0,17
31,1663768152.0759795,32,stand,9,-1,106,0,0,0,0,17
32,1663768152.1535997,33,stand,9,-1,106,0,0,0,0,17
33,1663768152.231055,34,stand,9,-1,106,0,0,0,0,17
34,1663768152.3248482,35,stand,9,-1,106,0,0,0,0,17
