,time,frame#,command,pitch,roll,Yaw,height,Vx,Vy,Vz,battery
0,1663767157.3781059,1,stand,-2,-1,-173,0,3,0,0,59
1,1663767157.6704533,2,stand,-3,-2,-173,0,4,0,0,59
2,1663767157.8120337,3,stand,-2,-2,-173,0,4,1,0,59
3,1663767158.0802813,4,stand,-1,-2,-175,0,4,1,0,59
4,1663767158.1693916,5,stand,-1,-2,-176,0,4,1,0,59
5,1663767158.2532098,6,stand,-1,-2,-176,0,4,1,0,59
6,1663767158.382182,7,stand,-2,-2,-176,0,3,1,0,59
7,1663767158.5046623,8,stand,-1,-3,-175,0,4,1,0,59
8,1663767158.7226155,9,stand,-1,-3,-175,0,5,0,0,59
9,1663767158.9816215,10,stand,-2,-4,-174,0,5,0,0,59
10,1663767159.1656647,11,stand,-2,-4,-173,0,5,0,0,58
11,1663767159.3256166,12,stand,-1,-5,-171,0,5,1,0,58
12,1663767159.567374,13,stand,0,-6,-170,0,5,1,0,58
13,1663767159.786157,14,stand,0,-5,-174,0,4,0,0,58
14,1663767159.9554162,15,stand,-1,-6,-175,0,2,0,0,58
15,1663767160.0528219,16,stand,0,-6,-175,0,1,0,0,58
16,1663767160.2421575,17,stand,0,-6,-175,0,0,-1,0,58
17,1663767160.4180112,18,stand,1,-7,-176,0,0,-4,0,58
18,1663767160.5775547,19,stand,1,-7,-175,0,0,-5,0,58
19,1663767160.702138,20,stand,1,-7,-174,0,0,-6,0,58
20,1663767160.9108222,21,stand,1,-6,-171,0,0,-7,0,58
21,1663767161.078183,22,stand,2,-4,-173,0,2,-7,0,58
22,1663767161.2131014,23,stand,2,-3,-174,0,2,-7,0,58
23,1663767161.3928385,24,stand,3,-1,-175,0,2,-7,0,58
24,1663767161.5404336,25,stand,3,0,-176,0,2,-7,0,58
25,1663767161.7823913,26,stand,3,0,-179,0,1,-7,0,58
26,1663767161.9356143,27,stand,3,0,-179,0,1,-8,-1,58
27,1663767162.03516,28,stand,2,0,-179,0,0,-8,0,58
28,1663767162.1787407,29,stand,1,0,-178,0,1,-8,0,58
29,1663767162.3143852,30,stand,3,1,-179,0,0,-5,0,58
30,1663767162.4180038,31,stand,4,2,-179,0,0,-4,0,58
31,1663767162.5524185,32,stand,7,3,-178,0,0,-3,0,58
32,1663767162.6743288,33,stand,8,3,-179,0,-1,-2,0,58
33,1663767162.8178062,34,stand,7,2,-179,0,-2,0,0,58
34,1663767162.9499831,35,stand,8,3,-178,0,-2,0,0,58
35,1663767163.0639458,36,stand,6,2,-178,0,-3,0,0,58
36,1663767163.2093122,37,stand,7,1,-179,0,-3,0,0,58
37,1663767163.3144448,38,stand,7,2,-178,0,-3,0,0,58
38,1663767163.4559233,39,stand,7,2,-177,0,-3,0,0,58
39,1663767163.5824249,40,stand,8,1,-177,0,-3,0,0,58
40,1663767163.7053478,41,stand,8,0,-176,0,-3,0,0,58
41,1663767163.8385985,42,stand,6,-1,-174,0,-5,0,0,58
42,1663767163.961945,43,stand,5,-2,-174,0,-3,0,0,58
43,1663767164.1107025,44,stand,5,0,-174,0,-4,1,0,58
44,1663767164.274167,45,stand,4,-1,-172,0,-5,2,0,58
45,1663767164.407532,46,stand,4,-2,-171,0,-5,2,0,58
46,1663767164.5891025,47,stand,8,-2,-168,0,-8,3,0,58
47,1663767164.698603,48,stand,8,-2,-166,0,-7,3,0,58
48,1663767164.7882438,49,stand,7,-2,-163,0,-8,2,0,58
49,1663767164.89779,50,stand,6,-1,-161,0,-7,3,0,58
50,1663767165.0077267,51,stand,5,-1,-158,0,-6,3,0,58
51,1663767165.1465101,52,stand,5,-2,-157,0,-5,3,0,58
52,1663767165.2663724,53,stand,5,-4,-157,0,-5,3,0,58
53,1663767165.4251428,54,stand,5,-4,-158,0,-5,2,0,58
54,1663767165.5699208,55,stand,4,-3,-159,0,-4,1,0,58
55,1663767165.7307618,56,stand,4,-4,-162,0,-5,1,0,58
56,1663767165.8178482,57,stand,6,-4,-166,0,-6,0,0,58
57,1663767165.9965632,58,stand,6,-5,-168,0,-5,1,0,58
58,1663767166.0924582,59,stand,6,-7,-169,0,-5,0,0,58
59,1663767166.183139,60,stand,6,-7,-171,0,-3,0,0,58
60,1663767166.3163226,61,stand,6,-8,-174,0,-2,0,0,58
61,1663767166.448853,62,stand,6,-8,-175,0,-3,0,0,58
62,1663767166.528856,63,stand,6,-8,-175,0,-3,0,0,58
63,1663767166.719415,64,stand,4,-8,-177,0,-2,1,0,58
64,1663767166.9169562,65,stand,4,-7,-177,0,-2,3,0,58
65,1663767167.0177157,66,stand,4,-5,176,0,-4,4,0,58
66,1663767167.1120136,67,stand,4,-5,176,0,-4,4,0,58
67,1663767167.2414587,68,stand,3,-6,173,0,-3,4,0,58
68,1663767167.411726,69,stand,1,-6,171,0,-2,2,0,58
69,1663767167.6481936,70,stand,-1,-6,176,0,0,0,0,58
70,1663767167.8041997,71,stand,-1,-7,177,0,0,0,0,58
71,1663767167.9080007,72,stand,-1,-7,179,0,0,0,0,58
72,1663767168.0111063,73,stand,0,-6,-175,0,0,0,0,58
73,1663767168.1676078,74,stand,0,-3,-165,0,1,2,0,58
74,1663767168.3575819,75,stand,0,-3,-160,0,2,4,0,58
75,1663767168.5250967,76,stand,1,-5,-164,0,2,3,0,58
